,Akuapem,,Akuapem ,English
I belong here.,Me na mewɔ ha.,,Anadwo biara ɔfrɛ no,He calls her every night
,Me fata sɛ mewɔ ha,,,He calls him every night
,ha na me wɔ,,,She calls her every night
Kwaku sings quite well.,Kwaku to dwom yiye.,,,He calls her every night
,Kwaku nim nwom to,,"Anɔpa yi, ohyiaa no.",She met him this morning 
He calls her up every night.,Anadwo biara ɔfrɛ no ,,,She met her this morning 
,ɔfrɛ no anadwo biara ,,,He met her this morning
I don't have any money at all.,Minni sika koraa.,,,He met him this morning 
,Sika biara nni me ho ,,Merenyɛ saa nnɛ.,I'd rather not go out today.
I love your dress.,M'ani gye wo ntadehyɛ ho.,,,I dont feel like going out today 
,M'ani gye w'ataadeɛ no ho ,,,I dont want to go out today 
,W'ataadeɛ no yɛ fɛ ,,Nea ɛwɔ he na meyɛ?,Which is mine?
This is what I can do for you.,Eyi na metumi ayɛ ama wo.,,,Which one belongs to me?
,Deɛ mɛtumi ayɛ ama wo ara nie ,,,Which of these is for me?
,Deɛ mɛtumi ayɛ aboa wo no no ,,,Which one is mine?
She met him this morning.,"Anɔpa yi, ohyiaa no.",,Misua nnwom.,I'm learning music.
,ɔhyiaa no anɔpa yi ,,,I'm studying music
,Anopa yi ara na ɔne no redi ahyiam ,,,I'm taking music lessons
I'd rather not go out today.,Merenyɛ saa nnɛ.,,Otuu no fo sɛ ɔnhwɛ yiye paa.,She was advised by him to be more careful.
,Mempɛ sɛ mɛpue nnɛ ,,,He advised her to be more careful.
,ɛnni me mu sɛ mɛkɔ abɔntene nnɛ ,,,He told her to be careful
What time will you leave?,Bere bɛn na wubefi hɔ?,,,He cautioned her to take more care
,Berɛ bɛn na wobɛkɔ?,,,He instructed her to be very careful
,Wobɛfiri ha berɛ bɛn?,,Bɔ mmɔden yɛ saa.,Try and do it.
Don't lose your temper.,Mma wo bo mfuw.,,,Give it a try 
,Hyɛ wo ho so ,,,Try your best and do it 
,Ka w'akoma to wo yam ,,,Make an effort and get it done 
,Adwoberɛw,,Wɔfrɛɛ me wɔ telefon so bere a na merema aduan awia no.,The phone rang when I was having lunch.
,,,,"While I was having lunch, the phone rang "
,,,,I was having lunch when the phone rang 
,,,,The phone went off while I was having lunch 
Which is mine?,Nea ɛwɔ he na meyɛ?,,Yesua honam fam nyansahu.,We're studying physical science.
,,,,We are learning physical science 
,,,,We are taking a physical science class 
,Deɛ ɛwc hen na yɛ me dea?,,"Sɛ mene wo a, anka menyɛ saa.",I wouldn't do that if I were you.
,,,,"If I were in your shoes, I wouldn't do that "
,,,,That is something I will not do if I were you 
,,,,"If I were you, I wouldnt do that "
,ɛmu nea ɛwɔ hen na ɛwɔ me?,,Bere a ade tɔɔ ne so ara pɛ na yɛde no kɔɔ ayaresabea hɔ.,We took her straight to the clinic as soon as she fainted.
,,,,"As soon as she passed out, we brought her to the clinic"
,,,,"Immediately after she fainted, we took her to the hospital "
We left at 2:30.,Yefii hɔ 2:30.,,Ɔkyerɛkyerɛfo akatua nnu mmaranimfo de ara kwa.,A teacher's salary is less than an attorney's.
,ɛbɔɔ 2:30 na yɛfirii hɔ,,,Teachers earn less than lawyers 
,Yɔrefiri hɔ no na 2:30 abɔ ,,,A teacher's pay is lower than a lawyer's 
"She likes animals, you know?","Ɔte sɛ mmoa, wunim?",,,Teachers make less money than attorneys 
,Wonim sɛ n'ani gye mmoa ho?,,Asamoah anhu sɛnea na wobu Esi anim animtiaa no.,Asamoah didn't notice the look of disdain on Esi's face.
,,,,Asamoah didnt see the contempt on Esi's face
,,,,Asamoah didnt realize Esi was looking at him with contempt 
,,,,Asamoah didnt notive how Esi looked at him with disdain 
,Wonim sɛ ɔpɛ mmoa asɛm?,,Ná ɛte sɛ dae bi a abam.,It was like a dream come true.
,,,,It was a dream fulfilled 
,,,,It seemed like a dream come true 
,,,,It felt like a dream come true 
You haven't got much time.,Wonni mmre,,Wuhuu sɛnea wɔn fie no sõ fa?,Did you see how big their house is?
