,Akuapem ,"English (Target, Many)",True Label
0,Anadwo biara ɔfrɛ no,He calls her every night,1
4,"Anɔpa yi, ohyiaa no.",She met him this morning ,1
8,Merenyɛ saa nnɛ.,I'd rather not go out today.,1
11,Nea ɛwɔ he na meyɛ?,Which is mine?,1
15,Misua nnwom.,I'm learning music.,1
18,Otuu no fo sɛ ɔnhwɛ yiye paa.,She was advised by him to be more careful.,1
23,Bɔ mmɔden yɛ saa.,Try and do it.,1
27,Wɔfrɛɛ me wɔ telefon so bere a na merema aduan awia no.,The phone rang when I was having lunch.,1
31,Yesua honam fam nyansahu.,We're studying physical science.,1
34,"Sɛ mene wo a, anka menyɛ saa.",I wouldn't do that if I were you.,1
38,Bere a ade tɔɔ ne so ara pɛ na yɛde no kɔɔ ayaresabea hɔ.,We took her straight to the clinic as soon as she fainted.,1
41,Ɔkyerɛkyerɛfo akatua nnu mmaranimfo de ara kwa.,A teacher's salary is less than an attorney's.,1
45,Asamoah anhu sɛnea na wobu Esi anim animtiaa no.,Asamoah didn't notice the look of disdain on Esi's face.,1
49,Ná ɛte sɛ dae bi a abam.,It was like a dream come true.,1
53,Wuhuu sɛnea wɔn fie no sõ fa?,Did you see how big their house is?,1
56,Meka ɛno ho asɛm kyerɛ wo.,I give you my word on that.,1
60,Ɛhaw me yiye.,I'm devastated.,1
64,Ná ayi no ye nnora.,The funeral was yesterday.,1
68,Me yere nsɔre m'anim.,My wife doesn't get up before me.,1
71,Asamoah betumi abua no.,Asamoah can answer.,1
75,Mekaa hwee kyerɛɛ wɔn.,I told them nothing.,1
79,Yɛhwɛ kwan sɛ ɔbɛboa yɛn.,We expect that he'll help us.,1
83,Ná ɛyɛ bere pa a ɛsɛ sɛ yɛfew ano.,It was the perfect moment for a kiss.,1
87,Dɛn na wobɛka sɛ ɛsɛ sɛ wokɔ nnwonto no ase?,What do you say to going to the concert?,1
90,Bere bɛn na wiase no bɛba awiei?,When will the world come to an end?,1
94,Asamoah yɛ ɔnokwafo.,Asamoah is a sincere person.,1
98,Awarefo no de sika pii na ɛyɛɛ wɔn fie.,The couple spent a lot of money on furnishing their house.,1
